est.Spatial,est.E_PC1,est.n1,Spatial,E_PC1,SD
-0.264192667,-4.447938576,6.064633388,,,
-0.169290333,-4.447938576,6.106734586,,,
-0.074388,-4.447938576,6.148835784,,,
0.020514333,-4.447938576,6.190936982,,,
0.115416667,-4.447938576,6.23303818,,,
0.210319,-4.447938576,6.275139379,,,
0.305221333,-4.447938576,6.317240577,,,
0.400123667,-4.447938576,6.359341775,,,
0.495026,-4.447938576,6.401442973,,,
0.589928333,-4.447938576,6.443544171,,,
0.684830667,-4.447938576,6.485645369,,,
0.779733,-4.447938576,6.527746567,,,
0.874635333,-4.447938576,6.569847766,,,
0.969537667,-4.447938576,6.611948964,,,
1.06444,-4.447938576,6.654050162,,,
1.159342333,-4.447938576,6.69615136,,,
1.254244667,-4.447938576,6.738252558,,,
1.349147,-4.447938576,6.780353756,,,
1.444049333,-4.447938576,6.822454955,,,
1.538951667,-4.447938576,6.864556153,,,
1.633854,-4.447938576,6.906657351,,,
1.728756333,-4.447938576,6.948758549,,,
1.823658667,-4.447938576,6.990859747,,,
1.918561,-4.447938576,7.032960945,,,
2.013463333,-4.447938576,7.075062143,,,
2.108365667,-4.447938576,7.117163342,,,
2.203268,-4.447938576,7.15926454,,,
2.298170333,-4.447938576,7.201365738,,,
2.393072667,-4.447938576,7.243466936,,,
2.487975,-4.447938576,7.285568134,,,
2.582877333,-4.447938576,7.327669332,,,
2.677779667,-4.447938576,7.369770531,,,
2.772682,-4.447938576,7.411871729,,,
2.867584333,-4.447938576,7.453972927,,,
2.962486667,-4.447938576,7.496074125,,,
3.057389,-4.447938576,7.538175323,,,
3.152291333,-4.447938576,7.580276521,,,
3.247193667,-4.447938576,7.622377719,,,
3.342096,-4.447938576,7.664478918,,,
3.436998333,-4.447938576,7.706580116,,,
3.531900667,-4.447938576,7.748681314,,,
3.626803,-4.447938576,7.790782512,,,
3.721705333,-4.447938576,7.83288371,,,
3.816607667,-4.447938576,7.874984908,,,
3.91151,-4.447938576,7.917086107,,,
4.006412333,-4.447938576,7.959187305,,,
4.101314667,-4.447938576,8.001288503,,,
4.196217,-4.447938576,8.043389701,,,
4.291119333,-4.447938576,8.085490899,,,
4.386021667,-4.447938576,8.127592097,,,
4.480924,-4.447938576,8.169693295,,,
4.575826333,-4.447938576,8.211794494,,,
4.670728667,-4.447938576,8.253895692,,,
4.765631,-4.447938576,8.29599689,,,
4.860533333,-4.447938576,8.338098088,,,
4.955435667,-4.447938576,8.380199286,,,
5.050338,-4.447938576,8.422300484,,,
5.145240333,-4.447938576,8.464401682,,,
5.240142667,-4.447938576,8.506502881,,,
5.335045,-4.447938576,8.548604079,,,
5.429947333,-4.447938576,8.590705277,,,
5.524849667,-4.447938576,8.632806475,,,
5.619752,-4.447938576,8.674907673,,,
5.714654333,-4.447938576,8.717008871,,,
5.809556667,-4.447938576,8.75911007,,,
5.904459,-4.447938576,8.801211268,,,
5.999361333,-4.447938576,8.843312466,,,
6.094263667,-4.447938576,8.885413664,,,
6.189166,-4.447938576,8.927514862,,,
6.284068333,-4.447938576,8.96961606,,,
6.378970667,-4.447938576,9.011717258,,,
6.473873,-4.447938576,9.053818457,,,
6.568775333,-4.447938576,9.095919655,,,
6.663677667,-4.447938576,9.138020853,,,
6.75858,-4.447938576,9.180122051,,,
6.853482333,-4.447938576,9.222223249,,,
6.948384667,-4.447938576,9.264324447,,,
7.043287,-4.447938576,9.306425646,,,
-2.352044,-4.365207434,5.112009243,,,
-2.257141667,-4.365207434,5.154376816,,,
-2.162239333,-4.365207434,5.196744388,,,
